case_number,court,year,month,pdf_url,civilian_judge,military_judge
OA 1583 of 2014,CHANDIGARH,2015,06,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/june2015/OA%201583%20of%202014.pdf,surinder singh thakur,lt. gen. ds sidhu
OA 608 of 2015,CHANDIGARH,2015,08,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/august2015/OA%20608%20of%202015.pdf,surinder singh thakur,lt. gen. ds sidhu
OA 03 of 2010,CHANDIGARH,2010,12,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_1/till-DEC2010/OA%2003%20of%202010.pdf,ghanshyam prasad,lt. gen. n. s. brar 
OA 05 of 2010,CHANDIGARH,2010,12,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_1/till-DEC2010/OA%2005%20of%202010.pdf,ghanshyam prasad,lt. gen. n. s. brar 
OA 06 of 2010,CHANDIGARH,2010,12,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_1/till-DEC2010/OA%2006%20of%202010.pdf,ghanshyam prasad,lt. gen. n. s. brar 
OA 10 of 2009,CHANDIGARH,2010,12,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_1/till-DEC2010/OA%2010%20of%202009.pdf,ghanshyam prasad,lt. gen. n. s. brar 
OA 10 of 2010,CHANDIGARH,2010,12,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_1/till-DEC2010/OA%2010%20of%202010.pdf,ghanshyam prasad,lt. gen. n. s. brar 
OA 12 of 2010,CHANDIGARH,2010,12,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_1/till-DEC2010/OA%2012%20of%202010.pdf,ghanshyam prasad,lt. gen. n. s. brar 
OA 13 of 2010,CHANDIGARH,2010,12,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_1/till-DEC2010/OA%2013%20of%202010.pdf,ghanshyam prasad,lt. gen. n. s. brar 
OA 15 of 2010,CHANDIGARH,2010,12,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_1/till-DEC2010/OA%2015%20of%202010.pdf,ghanshyam prasad,lt. gen. n. s. brar 
OA 26 of 2010,CHANDIGARH,2010,12,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_1/till-DEC2010/OA%2026%20of%202010.pdf,ghanshyam prasad,lt. gen. n. s. brar 
OA 37 of 2010,CHANDIGARH,2010,12,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_1/till-DEC2010/OA%2037%20of%202010.pdf,ghanshyam prasad,lt. gen. n. s. brar 
OA 39 of 2010,CHANDIGARH,2010,12,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_1/till-DEC2010/OA%2039%20of%202010.pdf,ghanshyam prasad,lt. gen. n. s. brar 
OA 40 of 2010,CHANDIGARH,2010,12,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_1/till-DEC2010/OA%2040%20of%202010.pdf,ghanshyam prasad,lt. gen. n. s. brar 
OA 42 of 2010,CHANDIGARH,2010,12,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_1/till-DEC2010/OA%2042%20of%202010.pdf,ghanshyam prasad,lt. gen. n. s. brar 
OA 48 of 2010,CHANDIGARH,2010,12,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_1/till-DEC2010/OA%2048%20of%202010.pdf,ghanshyam prasad,lt. gen. n. s. brar 
